channel,team,solution,point,sample_index,temperature_c,time_hms
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,initial_loading,0,6.84,10:51:11
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,nucleation_onset,1368,-10.13,11:13:59
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,recalescence_peak,1379,-1.19,11:14:10
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,controlled_end_pre_LN2,2851,-36.05,11:38:42
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,freezing_endpoint_minus40,2852,-40.64,11:38:43
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,freezing_endpoint_minus80,2861,-81.43,11:38:52
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,deep_cold_minimum,3385,-188.09,11:47:36
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,thaw_start_detected,3893,-187.75,11:56:04
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,thaw_0C,3994,1.17,11:57:45
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,thaw_plus10C,4054,10.92,11:58:45
Crazy Cells-DMSO (°C),Crazy Cells,DMSO+FBS,thaw_plus20C,NA,NA,NA
Crazy Cells-PBS (°C),Crazy Cells,PBS only,initial_loading,0,6.84,10:51:11
Crazy Cells-PBS (°C),Crazy Cells,PBS only,nucleation_onset,1153,-7.13,11:10:24
Crazy Cells-PBS (°C),Crazy Cells,PBS only,recalescence_peak,1162,0.86,11:10:33
Crazy Cells-PBS (°C),Crazy Cells,PBS only,controlled_end_pre_LN2,2849,-32.07,11:38:40
Crazy Cells-PBS (°C),Crazy Cells,PBS only,freezing_endpoint_minus40,2852,-42.36,11:38:43
Crazy Cells-PBS (°C),Crazy Cells,PBS only,freezing_endpoint_minus80,2860,-85.4,11:38:51
Crazy Cells-PBS (°C),Crazy Cells,PBS only,deep_cold_minimum,3085,-188.26,11:42:36
Crazy Cells-PBS (°C),Crazy Cells,PBS only,thaw_start_detected,3141,-187.97,11:43:32
Crazy Cells-PBS (°C),Crazy Cells,PBS only,thaw_0C,3214,0.02,11:44:45
Crazy Cells-PBS (°C),Crazy Cells,PBS only,thaw_plus10C,3329,10.44,11:46:40
