Gerät: USB-TC;;;;;;;
Seriennummer: 1437A9A;;;;;;;
Kanalzahl: 7;;;;;;;
Messwertzähler: 4078;;;;;;;
Startzeit: 19.02.2026 10:51:11;;;;;;;
Abtastrate: 1;;;;;;;
Messwert;Datum/Uhrzeit;Crazy Cells-DMSO (°C);Crazy Cells-Suc (°C);Crazy Cells-PBS (°C);Cryo Masters- DMSO (°C);Cryo Masters- Suc (°C);Cryo Masters- PBS (°C)
0;19.02.2026 10:51;6,84;7,13;6,84;6,07;7,06;5,77
1;19.02.2026 10:51;6,84;7,13;6,85;6,06;7,08;5,77
2;19.02.2026 10:51;6,84;7,14;6,85;6,04;7,07;5,73
3;19.02.2026 10:51;6,83;7,13;6,84;6,02;7,09;5,72
4;19.02.2026 10:51;6,85;7,14;6,86;6,01;7,09;5,72
5;19.02.2026 10:51;6,85;7,14;6,86;6,01;7,11;5,72
6;19.02.2026 10:51;6,86;7,15;6,88;6,01;7,13;5,73
7;19.02.2026 10:51;6,88;7,17;6,92;6,04;7,15;5,74
8;19.02.2026 10:51;6,86;7,15;6,87;6,04;7,17;5,75
9;19.02.2026 10:51;6,87;7,15;6,9;6,04;7,14;5,75
10;19.02.2026 10:51;6,86;7,13;6,87;6,02;7,17;5,74
11;19.02.2026 10:51;6,85;7,12;6,86;6,04;7,18;5,73
12;19.02.2026 10:51;6,84;7,12;6,85;6,03;7,19;5,74
13;19.02.2026 10:51;6,82;7,1;6,84;6,02;7,18;5,73
14;19.02.2026 10:51;6,83;7,11;6,83;6,01;7,19;5,72
15;19.02.2026 10:51;6,82;7,11;6,86;6,01;7,19;5,72
16;19.02.2026 10:51;6,83;7,11;6,86;6,01;7,2;5,71
17;19.02.2026 10:51;6,84;7,12;6,86;6,03;7,19;5,69
18;19.02.2026 10:51;6,83;7,1;6,86;6,01;7,19;5,71
19;19.02.2026 10:51;6,82;7,11;6,85;6;7,2;5,71
20;19.02.2026 10:51;6,83;7,12;6,84;5,99;7,22;5,7
21;19.02.2026 10:51;6,83;7,11;6,87;5,99;7,2;5,71
22;19.02.2026 10:51;6,85;7,13;6,87;5,99;7,21;5,7
23;19.02.2026 10:51;6,85;7,12;6,87;5,98;7,22;5,72
24;19.02.2026 10:51;6,85;7,11;6,88;5,99;7,22;5,71
25;19.02.2026 10:51;6,86;7,12;6,89;5,99;7,22;5,7
26;19.02.2026 10:51;6,87;7,14;6,87;6;7,22;5,69
27;19.02.2026 10:51;6,88;7,16;6,9;5,98;7,21;5,69
28;19.02.2026 10:51;6,86;7,14;6,89;5,96;7,21;5,7
29;19.02.2026 10:51;6,88;7,16;6,92;5,97;7,18;5,7
30;19.02.2026 10:51;6,89;7,16;6,93;5,97;7,22;5,69
31;19.02.2026 10:51;6,88;7,15;6,91;5,97;7,22;5,69
32;19.02.2026 10:51;6,89;7,15;6,92;5,96;7,21;5,69
33;19.02.2026 10:51;6,87;7,13;6,9;5,97;7,2;5,69
34;19.02.2026 10:51;6,86;7,14;6,9;5,97;7,22;5,68
35;19.02.2026 10:51;6,85;7,14;6,9;5,95;7,2;5,67
36;19.02.2026 10:51;6,86;7,15;6,87;5,94;7,21;5,65
37;19.02.2026 10:51;6,85;7,13;6,89;5,94;7,18;5,65
38;19.02.2026 10:51;6,86;7,13;6,9;5,92;7,19;5,66
39;19.02.2026 10:51;6,85;7,14;6,9;5,95;7,2;5,68
40;19.02.2026 10:51;6,86;7,14;6,89;5,96;7,2;5,67
41;19.02.2026 10:51;6,87;7,14;6,88;5,96;7,2;5,67
42;19.02.2026 10:51;6,85;7,13;6,89;5,95;7,21;5,67
43;19.02.2026 10:51;6,88;7,14;6,89;5,94;7,21;5,67
44;19.02.2026 10:51;6,86;7,14;6,9;5,96;7,22;5,67
45;19.02.2026 10:51;6,89;7,14;6,9;5,97;7,23;5,68
46;19.02.2026 10:51;6,87;7,13;6,91;5,97;7,22;5,68
47;19.02.2026 10:51;6,86;7,12;6,89;5,98;7,24;5,7
48;19.02.2026 10:51;6,86;7,12;6,87;5,95;7,23;5,69
49;19.02.2026 10:52;6,85;7,13;6,88;5,94;7,2;5,67
50;19.02.2026 10:52;6,84;7,12;6,88;5,93;7,22;5,65
51;19.02.2026 10:52;6,84;7,12;6,89;5,91;7,18;5,64
52;19.02.2026 10:52;6,83;7,12;6,88;5,91;7,17;5,64
53;19.02.2026 10:52;6,83;7,12;6,88;5,92;7,2;5,66
54;19.02.2026 10:52;6,82;7,11;6,86;5,92;7,19;5,65
55;19.02.2026 10:52;6,82;7,11;6,87;5,92;7,19;5,65
56;19.02.2026 10:52;6,81;7,08;6,86;5,92;7,17;5,64
57;19.02.2026 10:52;6,8;7,07;6,83;5,9;7,18;5,63
